id,label,errors,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10
01-Jan,ME-flow,"{'PhysNet': 3.345186660029867, 'PhysMamba': 3.1651866600298604, 'RhythmMamba': 3.255186660029864, 'PhysFormer': 3.1651866600298604, 'ME-flow': 3.075186660029871, 'ME-chunk': 3.1651866600298604, 'TSCAN': 3.345186660029867, 'EfficientPhys': 3.705186660029866}",0.2550003,0.46479762,0.30026716,0.030145308,0.5411867,2.2910745e-05,0.06668105,0.08357584,0.1613264,0.997853,0.39148462
01-Feb,TSCAN,"{'PhysNet': 4.061454272863571, 'PhysMamba': 3.791454272863575, 'RhythmMamba': 3.521454272863579, 'PhysFormer': 4.331454272863567, 'ME-flow': 4.061454272863571, 'ME-chunk': 4.061454272863571, 'TSCAN': 1.8114542728635712, 'EfficientPhys': 4.241454272863578}",0.24318863,0.4341225,0.28591448,0.026611725,0.51307756,7.436193e-05,0.26515764,0.09031593,0.1515454,0.9964253,0.39005
01-Mar,PhysFormer,"{'PhysNet': 0.2381119448387636, 'PhysMamba': 0.328111944838767, 'RhythmMamba': 0.1218880551612358, 'PhysFormer': 0.058111944838771, 'ME-flow': 0.2381119448387636, 'ME-chunk': 0.058111944838771, 'TSCAN': 0.211888055161225, 'EfficientPhys': 0.4181119448387704}",0.24708197,0.43396944,0.29303935,0.023999164,0.5194309,0.000336962,0.6391332,0.08653251,0.17807999,0.9964394,0.39274138
01-May,PhysMamba,"{'PhysNet': 2.7078837035188457, 'PhysMamba': 2.6178837035188423, 'RhythmMamba': 2.797883703518849, 'PhysFormer': 2.6178837035188423, 'ME-flow': 2.6178837035188423, 'ME-chunk': 2.6178837035188423, 'TSCAN': 2.797883703518849, 'EfficientPhys': 2.9778837035188417}",0.3018365,0.545016,0.33995128,0.033682562,0.5408179,0,0.7706761,0.090871856,0.14193432,0.9962451,0.38970953
01-Jun,PhysMamba,"{'PhysNet': 2.844733727810663, 'PhysMamba': 2.664733727810656, 'RhythmMamba': 2.934733727810652, 'PhysFormer': 2.664733727810656, 'ME-flow': 2.844733727810663, 'ME-chunk': 2.75473372781066, 'TSCAN': 2.75473372781066, 'EfficientPhys': 2.75473372781066}",0.30422956,0.53212875,0.34452018,0.03309671,0.5351788,0,1,0.09445608,0.14828831,0.99663854,0.3881544
02-Jan,TSCAN,"{'PhysNet': 2.9644329132690928, 'PhysMamba': 3.1444329132691, 'RhythmMamba': 3.1444329132691, 'PhysFormer': 3.1444329132691, 'ME-flow': 3.2344329132690888, 'ME-chunk': 3.1444329132691, 'TSCAN': 2.8744329132690893, 'EfficientPhys': 3.414432913269096}",0.26024365,0.47831035,0.30480394,0.025439132,0.5407127,3.729254e-06,0.07111555,0.07542345,0.16151252,0.996514,0.38630503
02-Feb,ME-chunk,"{'PhysNet': 3.5160102301790346, 'PhysMamba': 3.156010230179035, 'RhythmMamba': 3.156010230179035, 'PhysFormer': 3.5160102301790346, 'ME-flow': 2.886010230179025, 'ME-chunk': 2.616010230179029, 'TSCAN': 2.7060102301790323, 'EfficientPhys': 3.606010230179024}",0.30426097,0.62894416,0.34777683,0.033495497,0.54355735,0,0.36280203,0.08934603,0.13670442,0.9952037,0.37959465
02-Mar,TSCAN,"{'PhysNet': 2.65230485839281, 'PhysMamba': 2.112304858392804, 'RhythmMamba': 2.112304858392804, 'PhysFormer': 2.202304858392808, 'ME-flow': 2.0223048583928005, 'ME-chunk': 2.472304858392804, 'TSCAN': 0.2276951416071853, 'EfficientPhys': 2.922304858392806}",0.26273605,0.5225245,0.31050783,0.038376052,0.5396097,7.7083996e-07,0.7299204,0.06420359,0.16299367,0.9938527,0.38553718
02-Apr,PhysMamba,"{'PhysNet': 1.232277765211478, 'PhysMamba': 0.2977222347885231, 'RhythmMamba': 0.6022777652114826, 'PhysFormer': 1.3222777652114814, 'ME-flow': 1.1422777652114746, 'ME-chunk': 1.232277765211478, 'TSCAN': 1.1422777652114746, 'EfficientPhys': 0.962277765211482}",0.2525923,0.51198715,0.30182526,0.029127708,0.5409354,0.000418371,1,0.08035986,0.18194683,0.9915665,0.38797382
02-May,RhythmMamba,"{'PhysNet': 0.7311527377521685, 'PhysMamba': 0.8211527377521577, 'RhythmMamba': 0.5511527377521617, 'PhysFormer': 0.6411527377521651, 'ME-flow': 0.7311527377521685, 'ME-chunk': 0.8211527377521577, 'TSCAN': 0.5511527377521617, 'EfficientPhys': 0.9111527377521612}",0.3197024,0.64485,0.36353502,0.031903293,0.5460462,0,0.91873807,0.088680476,0.14837426,0.9943541,0.38541827
02-Jun,ME-flow,"{'PhysNet': 2.7602252135645813, 'PhysMamba': 2.5802252135645887, 'RhythmMamba': 2.4902252135645853, 'PhysFormer': 2.5802252135645887, 'ME-flow': 2.3102252135645927, 'ME-chunk': 2.3102252135645927, 'TSCAN': 3.1202252135645807, 'EfficientPhys': 3.3002252135645875}",0.29766253,0.53316003,0.34330422,0.0355163,0.5359911,0,1,0.07046746,0.16510433,0.9963138,0.38752612
