id,label,errors,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10
DATASET_2_subject1,EfficientPhys.rlap,"{'TSCAN.rlap': 1.1008079101833488, 'PhysNet.rlap': 1.0108079101833454, 'EfficientPhys.rlap': 0.8308079101833528, 'PhysMamba.rlap': 0.9208079101833562, 'RhythmMamba.rlap': 1.0108079101833454, 'PhysFormer.rlap': 0.8308079101833528, 'ME-chunk.rlap': 0.9208079101833562, 'ME-flow.rlap': 0.9208079101833562}",0.47496012,0.5755492,0.5450963,0.12668298,0.5378849,0.0,0.10311502,0.049557965,0.08162591,0.8978522,0.3145748
DATASET_2_subject10,TSCAN.rlap,"{'TSCAN.rlap': 5.22726069245509, 'PhysNet.rlap': 6.127260692455081, 'EfficientPhys.rlap': 6.217260692455085, 'PhysMamba.rlap': 5.947260692455089, 'RhythmMamba.rlap': 6.037260692455078, 'PhysFormer.rlap': 6.127260692455081, 'ME-chunk.rlap': 5.947260692455089, 'ME-flow.rlap': 6.127260692455081}",0.5305648,0.5512213,0.5771662,0.09196886,0.51587766,0.0,0.2105822,0.058368284,0.07488051,0.8042256,0.34457803
DATASET_2_subject11,PhysFormer.rlap,"{'TSCAN.rlap': 2.749736571113857, 'PhysNet.rlap': 4.000263428886143, 'EfficientPhys.rlap': 2.3897365711138434, 'PhysMamba.rlap': 2.749736571113857, 'RhythmMamba.rlap': 2.3897365711138434, 'PhysFormer.rlap': 1.8497365711138516, 'ME-chunk.rlap': 3.3797365711138525, 'ME-flow.rlap': 2.5697365711138502}",0.4816713,0.78931516,0.53451604,0.16073315,0.55228627,0.0,0.89968055,0.058955893,0.112438954,0.88667953,0.3279174
DATASET_2_subject12,PhysFormer.rlap,"{'TSCAN.rlap': 0.5632973500833032, 'PhysNet.rlap': 0.6532973500833066, 'EfficientPhys.rlap': nan, 'PhysMamba.rlap': 0.4732973500832997, 'RhythmMamba.rlap': 0.6532973500833066, 'PhysFormer.rlap': 0.3832973500833105, 'ME-chunk.rlap': 0.5632973500833032, 'ME-flow.rlap': 0.5632973500833032}",0.49717653,0.49538493,0.5579786,0.13444601,0.5319103,0.0,0.0683069,0.055420756,0.088495605,0.80350596,0.3480492
DATASET_2_subject13,PhysNet.rlap,"{'TSCAN.rlap': 2.7620592955730814, 'PhysNet.rlap': 2.5820592955730888, 'EfficientPhys.rlap': 2.672059295573078, 'PhysMamba.rlap': 3.392059295573077, 'RhythmMamba.rlap': 3.572059295573084, 'PhysFormer.rlap': 3.122059295573081, 'ME-chunk.rlap': 3.662059295573087, 'ME-flow.rlap': 3.212059295573084}",0.5221749,0.4783966,0.5717599,0.6063396,0.51473504,0.0,0.12781197,0.057561718,0.08016337,0.6571942,0.33369273
DATASET_2_subject14,RhythmMamba.rlap,"{'TSCAN.rlap': 5.456178450242689, 'PhysNet.rlap': 6.806178450242697, 'EfficientPhys.rlap': 4.286178450242687, 'PhysMamba.rlap': 6.716178450242694, 'RhythmMamba.rlap': 3.656178450242692, 'PhysFormer.rlap': 6.536178450242687, 'ME-chunk.rlap': 6.626178450242691, 'ME-flow.rlap': nan}",0.4666623,0.5968255,0.56272525,0.4678436,0.538832,0.0,0.6455616,0.053386025,0.12187828,0.8002366,0.3593187
DATASET_2_subject15,EfficientPhys.rlap,"{'TSCAN.rlap': 0.0731940486026019, 'PhysNet.rlap': 0.3768059513974009, 'EfficientPhys.rlap': 0.0168059513974014, 'PhysMamba.rlap': 0.7368059513974003, 'RhythmMamba.rlap': 0.6468059513973969, 'PhysFormer.rlap': 0.6468059513973969, 'ME-chunk.rlap': 0.5568059513973935, 'ME-flow.rlap': 0.8268059513973895}",0.4996942,0.59080535,0.53794754,0.3853442,0.5132978,0.0,0.1272123,0.0454639,0.07987153,0.8995891,0.34561664
DATASET_2_subject16,PhysFormer.rlap,"{'TSCAN.rlap': 0.3179263232038067, 'PhysNet.rlap': 0.0479263232037965, 'EfficientPhys.rlap': 0.2279263232038033, 'PhysMamba.rlap': 0.0479263232037965, 'RhythmMamba.rlap': 0.4979263232038136, 'PhysFormer.rlap': 0.0420736767962068, 'ME-chunk.rlap': 0.0479263232037965, 'ME-flow.rlap': 0.0479263232037965}",0.5761093,0.4655071,0.62863904,0.2182577,0.4893917,0.0,0.21319157,0.050813314,0.047276363,0.75522774,0.32838923
DATASET_2_subject17,PhysMamba.rlap,"{'TSCAN.rlap': 0.3041447024794621, 'PhysNet.rlap': 0.3258552975205475, 'EfficientPhys.rlap': 0.2358552975205441, 'PhysMamba.rlap': 0.1458552975205407, 'RhythmMamba.rlap': 0.5058552975205401, 'PhysFormer.rlap': 0.2358552975205441, 'ME-chunk.rlap': 0.1458552975205407, 'ME-flow.rlap': 0.3258552975205475}",0.5660592,0.42595157,0.610888,0.123659715,0.48422906,0.0,0.19493082,0.052990593,0.0460158,0.82106024,0.34605473
DATASET_2_subject18,PhysMamba.rlap,"{'TSCAN.rlap': 5.293330270549788, 'PhysNet.rlap': 5.023330270549778, 'EfficientPhys.rlap': 5.293330270549788, 'PhysMamba.rlap': 4.753330270549796, 'RhythmMamba.rlap': 4.933330270549803, 'PhysFormer.rlap': 4.753330270549796, 'ME-chunk.rlap': 5.023330270549778, 'ME-flow.rlap': 5.113330270549781}",0.5170373,0.38387874,0.54724526,0.067086205,0.457219,0.0,0.23176962,0.06786344,0.03929456,0.71918714,0.37090498
